source,target,weight
TerereTradicao,Suzano_info,2
Selma48426844,marcosaraujjoo,2
alessandro_kd,_Janoninho,2
Tatiana73985584,marcosaraujjoo,2
4rrud4,cunha_dil,2
dornele6,JoaquinTeixeira,2
LucliaS35081712,joaodomenech,2
JosephP16662786,Suzano_info,2
AnaPaul00036619,Suzano_info,2
Melo_Brasil_,_Janoninho,2
zurenemanique,_Janoninho,2
Ribeirao1000,PatriaAmada0709,2
helenrvitorino,Suzano_info,2
Tatiana73985584,OBrizolulista,2
LucliaS35081712,_Janoninho,2
soraya_naccache,joaodomenech,2
soraya_naccache,_Janoninho,2
Juu21Ary30,JoaquinTeixeira,2
lzaana_hotmail,Suzano_info,2
andrejdb1,JoaquinTeixeira,2
alexand38859437,Dan_SK,2
madelcostas,joaodomenech,2
cesarduduca,ElzaAugusta,1
babyceara,aquiflavio,1
babyceara,vanzuty,1
carrosstal,Danicarlasou,1
babyceara,lugubremonotomo,1
carrosstal,Suzano_info,1
cesarduduca,lolaescreva,1
carrosstal,vanete_araujo,1
anpgo,lazarorosa25,1
catarinabioband,Robi73589635,1
cesarduduca,OBrizolulista,1
claqueteseca,nadiaprado7,1
claqueteseca,consallys,1
cesarduduca,consallys,1
catarinabioband,Solphis_chan,1
carlostaurus99,RonnyCombate,1
babyceara,goncalves273,1
badvibeslg,DREEZ_171,1
carlostaurus99,consallys,1
badvibeslg,consallys,1
claqueteseca,_Janoninho,1
carlostaurus99,nadiaprado7,1
carlosymzk,FelipZimmer,1
badvibeslg,cesarcalejon1,1
carlosymzk,JoaquinTeixeira,1
cfmattos,lolaescreva,1
badvibeslg,cervejadgarrafa,1
carlosymzk,goncalves273,1
carlostaurus99,cesarcalejon1,1
badvibeslg,buarqueana13,1
badvibeslg,euailze,1
badvibeslg,MarcelaSaraivas,1
claqueteseca,MarcianoBrito13,1
apostoloCASSIUS,UdaJuris2022,1
antuerpiallana,MauricioCostaRS,1
app_viana,anascherer83,1
cfmattos,lazarorosa25,1
claqueteseca,NoronhaNoronh4,1
cesarduduca,DREEZ_171,1
ceclaudio,UdaJuris2022,1
aquino1976,DREEZ_171,1
arielsonsorren4,vanzuty,1
baboes69,Elainnefaria1,1
catarinabioband,queenvermelha13,1
baboes69,CinthiaMagal,1
aurinetelemos,Suzano_info,1
catarinabioband,relidafernanda,1
arquitetobraga,mmichelemartins,1
arquitetobraga,joaovoltou,1
arquitetobraga,alexfmotta,1
celsoli66372142,CrisSilvaSJC,1
argentina_info2,aro_marcia,1
catarinabioband,rsafllics,1
baboes69,JoaquinTeixeira,1
catarinabioband,winsletpaulson,1
ceara59,_Janoninho,1
celsoeduadvogad,JoaquinTeixeira,1
ceara59,jamlima77,1
arquitetobraga,Wallcostajf,1
ceara59,simonegmoreno,1
arquitetobraga,Luisoli21929060,1
arquitetobraga,Karinegtoledo,1
arquitetobraga,KaiolOof,1
celestinoAB,JoaquinTeixeira,1
argentina_info2,Suzano_info,1
baboes69,Suzano_info,1
babyceara,WillianWillCG,1
babyceara,MauricioCostaRS,1
aquino1976,cervejadgarrafa,1
aquino1976,claudiofalatudo,1
aquino1976,daniduncan,1
arquitetobraga,JoaquinTeixeira,1
celsoli66372142,consallys,1
aquino1976,joaodomenech,1
aquino1976,marcosaraujjoo,1
araujo_dago,JoaquinTeixeira,1
catarinabioband,cervejadgarrafa,1
babyceara,Suzano_info,1
babyceara,Kaiqueporto32,1
celsoli66372142,RonnyCombate,1
babyceara,Julyanaadm,1
babyceara,John_N4varro,1
catarinabioband,kelvin_a10,1
babyceara,DruzianMonica,1
babyceara,AlexJrIC12,1
baboes69,goncalves273,1
celsoli66372142,cervejadgarrafa,1
baboes69,aro_marcia,1
baboes69,UdaJuris2022,1
catarinabioband,profalexmarcelo,1
catarinabioband,carloscamargo,1
bubuzinha,ZeliVanderlei,1
carlostaurus99,MarcianoBrito13,1
bysincerona,ElzaAugusta,1
bpdanielrocha,John_N4varro,1
bpdanielrocha,E_PaKabah,1
bysincerona,JosDonizettiVi3,1
bpdanielrocha,Danicarlasou,1
bpdanielrocha,BrunoCalixto22,1
bpdanielrocha,AspasDireita,1
bot_corno,mharcu_,1
bot_corno,RonnyCombate,1
bot_corno,MarcianoBrito13,1
bysincerona,LulaSilvaLivre,1
bot_corno,EdsonFilho74,1
bonvivantpb,Suzano_info,1
bonvivantpb,Danicarlasou,1
bonvivantpb,CinthiaMagal,1
bonequi91,marcosaraujjoo,1
bysincerona,M_Cristian18,1
bysincerona,MarcelaSaraivas,1
bonequi91,joaodomenech,1
bysincerona,Naradmoraes,1
bonequi91,cunha_dil,1
bonequi91,claudiofalatudo,1
bonequi91,cervejadgarrafa,1
bolson_c,Wallcostajf,1
bysincerona,RicardaBatista,1
bysincerona,Solphis_chan,1
bolson_c,FelipZimmer,1
bola1companhero,lolaescreva,1
bpdanielrocha,Julyanaadm,1
bpdanielrocha,KaiolOof,1
carlostaurus99,MarcelaSaraivas,1
bpdanielrocha,Kaiqueporto32,1
bubuzinha,OsBrizolistas,1
bubuzinha,sorayabborges,1
clarahcantunes,AndreaDamasce18,1
bysincerona,AngelJones_13,1
bubuzinha,CarlosS48442375,1
bysincerona,CornetaCritica,1
brito_efrem,vanete_araujo,1
brito_efrem,joaovoltou,1
brito_efrem,goncalves273,1
brito_efrem,UdaJuris2022,1
brito_efrem,LucianaSV29,1
brito_efrem,Kaiqueporto32,1
brito_efrem,Elainnefaria1,1
bysincerona,DREEZ_171,1
brito_efrem,Danicarlasou,1
