created_at,source,target
2022-11-22 17:59:10,Vanessa41504968,John_N4varro
2022-11-22 17:59:14,patriaeordem,Danicarlasou
2022-11-22 17:59:19,JosCarlosCustd3,Suzano_info
2022-11-22 17:59:20,LeloCamargo1,aro_marcia
2022-11-22 17:59:25,LeloCamargo1,Suzano_info
2022-11-22 17:59:36,JosCarlosCustd3,DCDM115
2022-11-22 17:59:38,ZadraDaniele,AlvesContabeis
2022-11-22 17:59:43,jjunior19715870,DCDM115
2022-11-22 17:59:53,Vanessa41504968,AlvesContabeis
2022-11-22 18:00:01,AmandaArielArt1,mara_selma
2022-11-22 18:00:01,ZadraDaniele,ApenasTruthNews
2022-11-22 18:00:02,bozo_bot,marcosaraujjoo
2022-11-22 18:00:08,pcemig78,aro_marcia
2022-11-22 18:00:11,ZipZum,UdaJuris2022
2022-11-22 18:00:13,Tatyana96116871,AlvesContabeis
2022-11-22 18:00:25,xandaoloc,vanete_araujo
2022-11-22 18:00:28,pcemig78,MrochaNysoft
2022-11-22 18:00:39,JosCarlosCustd3,Elainnefaria1
2022-11-22 18:00:55,ZadraDaniele,MarloneBHMG
2022-11-22 18:01:01,GiselyFelipe1,_Janoninho
2022-11-22 18:01:04,OpiniaoDireita,LeoniceMariana1
2022-11-22 18:01:12,ElisBrando6,FelipZimmer
2022-11-22 18:01:14,ZadraDaniele,Wallcostajf
2022-11-22 18:01:20,RosaHVitor,_Janoninho
2022-11-22 18:01:34,RosaHVitor,simonegmoreno
2022-11-22 18:01:35,soobser_23,Brasil_shelby
2022-11-22 18:01:36,OpiniaoDireita,Elainnefaria1
2022-11-22 18:01:36,ElisBrando6,vanete_araujo
2022-11-22 18:01:39,Dannisleyk1,Kaiqueporto32
2022-11-22 18:01:42,ElisBrando6,Elainnefaria1
2022-11-22 18:01:46,soobser_23,GraziHenriques
2022-11-22 18:01:53,luizpon57226662,Danicarlasou
2022-11-22 18:01:58,xandaoloc,Wagner_R_O
2022-11-22 18:02:05,vaz_eunice,_Janoninho
2022-11-22 18:02:10,EricMamae,John_N4varro
2022-11-22 18:02:19,soobser_23,Rickys_Ricardo3
2022-11-22 18:02:20,RosaHVitor,carloscdias
2022-11-22 18:02:22,Yenor_lanoican,Danicarlasou
2022-11-22 18:02:28,Yenor_lanoican,Suzano_info
2022-11-22 18:02:34,Yenor_lanoican,Suzano_info
2022-11-22 18:02:35,soobser_23,KaiolOof
2022-11-22 18:02:39,Thah818223052,Danicarlasou
2022-11-22 18:02:40,Yenor_lanoican,DCDM115
2022-11-22 18:02:46,DelfinoHannah,BrunoCalixto22
2022-11-22 18:02:56,SONIASOLANGE7,claryene
2022-11-22 18:03:09,Patriot2022_,FelipZimmer
2022-11-22 18:03:11,DelfinoHannah,UdaJuris2022
2022-11-22 18:03:15,DelfinoHannah,Suzano_info
2022-11-22 18:03:16,Anderso74644453,_Janoninho
2022-11-22 18:03:18,Patriot2022_,UdaJuris2022
2022-11-22 18:03:40,Vanessa41504968,MarloneBHMG
2022-11-22 18:03:45,soobser_23,PolticaDVerdade
2022-11-22 18:04:00,joao_marcos35,BrunoCalixto22
2022-11-22 18:04:05,RonaldoJBBarros,_Janoninho
2022-11-22 18:04:12,Dannisleyk1,vanete_araujo
2022-11-22 18:04:16,RosaHVitor,Mu29964508Marta
2022-11-22 18:04:23,Thah818223052,linapaulaqueir1
2022-11-22 18:04:47,SONIASOLANGE7,Danicarlasou
2022-11-22 18:04:49,RosaHVitor,jamlima77
2022-11-22 18:05:10,fd2011_1,Suzano_info
2022-11-22 18:05:11,sandraschulzcar,Danicarlasou
2022-11-22 18:05:13,Camilla36694011,AlvesContabeis
2022-11-22 18:05:21,gleicebrabo,Danicarlasou
2022-11-22 18:05:24,Patriot2022_,linapaulaqueir1
2022-11-22 18:05:30,todaspromocoes,marcosaraujjoo
2022-11-22 18:05:35,joao_marcos35,joaovoltou
2022-11-22 18:05:41,joao_marcos35,KaiolOof
2022-11-22 18:05:48,joao_marcos35,BaraoFarias
2022-11-22 18:05:53,josepasandoval,marcosaraujjoo
2022-11-22 18:06:10,Crisrosac,BrunoCalixto22
2022-11-22 18:06:15,Crisrosac,Danicarlasou
2022-11-22 18:06:20,Renata20232024,Danicarlasou
2022-11-22 18:06:27,soobser_23,ApenasTruthNews
2022-11-22 18:06:28,Renata20232024,Suzano_info
2022-11-22 18:06:29,AyltonBaptista,_Janoninho
2022-11-22 18:06:45,fabimazzeron,Kaiqueporto32
2022-11-22 18:06:59,CinthiaMagal,DCDM115
2022-11-22 18:07:03,anapaulapetista,_Janoninho
2022-11-22 18:07:08,Renata20232024,Kaiqueporto32
2022-11-22 18:07:09,soobser_23,CRISTOLUZ1000
2022-11-22 18:07:09,ElisBrando6,olordsnow
2022-11-22 18:07:11,argentina_info2,Suzano_info
2022-11-22 18:07:16,CinthiaMagal,Suzano_info
2022-11-22 18:07:30,Drey__Silva,Danicarlasou
2022-11-22 18:07:36,soobser_23,Douglasvet33
2022-11-22 18:08:04,aline_fvieira,FelipZimmer
2022-11-22 18:08:07,sandraschulzcar,MarloneBHMG
2022-11-22 18:08:07,jchaves1111,DCDM115
2022-11-22 18:08:08,Snia04163782,Suzano_info
2022-11-22 18:08:19,gleicebrabo,claryene
2022-11-22 18:08:35,jjunior19715870,Danicarlasou
2022-11-22 18:08:35,sandraschulzcar,PovoEosupremoBr
2022-11-22 18:08:36,Drey__Silva,UdaJuris2022
2022-11-22 18:08:53,WritterAnaLuiza,Danicarlasou
2022-11-22 18:08:57,Snia04163782,Elainnefaria1
2022-11-22 18:08:58,sandraschulzcar,LeoewalF
2022-11-22 18:09:03,Cassi44241258,Edu210670
2022-11-22 18:09:08,jchaves1111,FelipZimmer
2022-11-22 18:09:11,soobser_23,GgmAndrews
2022-11-22 18:09:12,jchaves1111,Suzano_info
2022-11-22 18:09:24,Cassi44241258,joaovoltou
2022-11-22 18:09:50,soobser_23,Alex__Lemos
2022-11-22 18:09:57,soobser_23,DoutorRedpill
2022-11-22 18:10:01,Michele17287600,aro_marcia
2022-11-22 18:10:04,jchaves1111,vanete_araujo
2022-11-22 18:10:08,Snia04163782,linapaulaqueir1
2022-11-22 18:10:16,susana_schmoell,linapaulaqueir1
2022-11-22 18:10:21,Drey__Silva,John_N4varro
2022-11-22 18:10:22,sandraschulzcar,CinthiaMagal
2022-11-22 18:10:27,jchaves1111,UdaJuris2022
2022-11-22 18:10:28,Snia04163782,FelipZimmer
2022-11-22 18:10:41,pinkylvtc,John_N4varro
2022-11-22 18:10:45,Rob__Rodrigues,Suzano_info
2022-11-22 18:10:48,Camilla36694011,KaiolOof
2022-11-22 18:10:52,jchaves1111,Douglasvet33
2022-11-22 18:11:02,Snia04163782,Wallcostajf
2022-11-22 18:11:11,Leandro97758105,Elainnefaria1
2022-11-22 18:11:17,pinkylvtc,Elainnefaria1
2022-11-22 18:11:31,StaMaira,CinthiaMagal
2022-11-22 18:11:35,jchaves1111,AlvesContabeis
2022-11-22 18:11:40,Anderso74644453,_Janoninho
2022-11-22 18:11:43,Cassi44241258,MarloneBHMG
2022-11-22 18:11:45,Camilla36694011,Wagner_R_O
2022-11-22 18:12:06,MarciaF84658325,_Janoninho
2022-11-22 18:12:09,pinkylvtc,Douglasvet33
2022-11-22 18:12:15,Analu63605234,Kaiqueporto32
2022-11-22 18:12:32,jchaves1111,joaovoltou
2022-11-22 18:12:39,FlavioErich,Suzano_info
2022-11-22 18:12:46,FlavioErich,UdaJuris2022
2022-11-22 18:12:50,joaoalberico,Brasil_shelby
2022-11-22 18:12:59,rudneygr,Suzano_info
2022-11-22 18:13:00,Gustavo18476486,Suzano_info
2022-11-22 18:13:02,LeandroTrajano8,LeoewalF
2022-11-22 18:13:06,jchaves1111,LeoewalF
2022-11-22 18:13:09,natanael14107,Suzano_info
2022-11-22 18:13:37,RacylleThainna,Danicarlasou
2022-11-22 18:13:38,LopesGyn2,FelipZimmer
2022-11-22 18:13:42,todaspromocoes,marcosaraujjoo
2022-11-22 18:13:42,RacylleThainna,BrunoCalixto22
2022-11-22 18:13:45,RacylleThainna,Suzano_info
2022-11-22 18:13:47,NatyeMew,Suzano_info
2022-11-22 18:13:48,jchaves1111,psy_fps
2022-11-22 18:13:53,jchaves1111,RozanaFranco
2022-11-22 18:13:58,RacylleThainna,UdaJuris2022
2022-11-22 18:14:00,LopesGyn2,Suzano_info
2022-11-22 18:14:09,Raquel33547872,FelipZimmer
2022-11-22 18:14:12,RacylleThainna,Suzano_info
2022-11-22 18:14:15,ana_282828,LeoniceMariana1
2022-11-22 18:14:16,saporito_andre,Suzano_info
2022-11-22 18:14:26,OpiniaoDireita,Madrugae22
2022-11-22 18:14:32,LeandroTrajano8,GgmAndrews
2022-11-22 18:14:38,saporito_andre,UdaJuris2022
2022-11-22 18:14:43,saporito_andre,John_N4varro
2022-11-22 18:14:47,dornele6,Danicarlasou
2022-11-22 18:14:50,jacquietequila,Pittyprovesi
2022-11-22 18:14:50,ana_282828,GgmAndrews
2022-11-22 18:14:55,AntoniaALacerda,FelipZimmer
2022-11-22 18:14:59,Thah818223052,Karinegtoledo
2022-11-22 18:15:01,bozo_bot,marcosaraujjoo
2022-11-22 18:15:11,RacylleThainna,Wallcostajf
